marital,divorce,widowed,agekdbrn,happy,hapmar,hapcohab,age,degree,income,relgion,life
Married,No ,No ,29,Pretyy Happy,Very Happy,NA,73,Graduate,Refused,Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,45,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,33,Pretyy Happy,NA,Very Happy,38,Graduate,"$25,000 or more",Protestant,Routine
Married,Yes,No ,21,Very Happy,Very Happy,NA,63,High School,"$20,000 to $24,999",Catholic ,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,24,Bachelors,"$10,000 to $14,999",None,Routine
Divorced,NA,No ,16,Not Too Happy,NA,Not Too Happy,41,High School,"$25,000 or more",None,Dull
Married,Yes,No ,32,Pretyy Happy,Very Happy,NA,75,Graduate,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,36,High School,"$25,000 or more",None,Routine
Married,Yes,No ,20,Pretyy Happy,Very Happy,NA,38,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,30,Pretyy Happy,NA,NA,40,High School,"$25,000 or more",Orthodox-Christian,Exciting
Divorced,NA,No ,31,Not Too Happy,NA,NA,70,Bachelors,Refused,Catholic ,Routine
Widowed,No ,NA,26,Not Too Happy,NA,NA,62,Graduate,"$25,000 or more",Catholic ,Routine
Married,No ,No ,36,Pretyy Happy,Pretyy Happy,NA,44,Graduate,"$25,000 or more",Buddhism,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,63,High School,"$25,000 or more",Catholic ,Routine
Married,Yes,No ,30,Not Too Happy,Pretyy Happy,NA,50,Associate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,35,Not Too Happy,NA,NA,69,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,19,Very Happy,NA,Very Happy,50,High School,"$20,000 to $24,999",Protestant,Routine
Never Married,NA,NA,25,Not Too Happy,NA,NA,32,High School,"$15,000 to $19,999",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,36,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,28,Pretyy Happy,Very Happy,NA,78,Graduate,"$25,000 or more",Catholic ,Routine
Widowed,No ,NA,30,Pretyy Happy,NA,NA,62,Graduate,Refused,Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,60,Associate,"$25,000 or more",None,Exciting
Never Married,NA,NA,21,Pretyy Happy,NA,NA,60,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,37,Pretyy Happy,Pretyy Happy,NA,47,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,38,Pretyy Happy,Pretyy Happy,NA,60,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,18,High School,"$25,000 or more",None,Routine
Never Married,NA,NA,24,Pretyy Happy,NA,NA,46,High School,"$25,000 or more",Jewish ,Exciting
Married,No ,No ,21,Pretyy Happy,Very Happy,NA,75,Bachelors,"$25,000 or more",Protestant,Exciting
Separated,NA,No ,NA,Not Too Happy,NA,NA,43,High School,"$25,000 or more",None,Dull
Widowed,Yes,NA,28,Not Too Happy,NA,NA,65,High School,Refused,Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,19,Graduate,Refused,Jewish ,Exciting
Never Married,NA,NA,NA,Very Happy,NA,NA,52,Graduate,Refused,Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,81,Graduate,"$25,000 or more",Catholic ,Exciting
Divorced,NA,No ,18,Very Happy,NA,NA,57,High School,"$20,000 to $24,999",Protestant,Exciting
Divorced,NA,No ,21,Pretyy Happy,NA,NA,52,Associate,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,58,High School,"$5,000 to $5,999",None,Exciting
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,63,High School,"$10,000 to $14,999",Protestant,Routine
Divorced,NA,No ,20,Very Happy,NA,NA,46,High School,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,20,Pretyy Happy,NA,NA,72,Associate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,74,Bachelors,"$10,000 to $14,999",Protestant,Routine
Married,No ,No ,23,Pretyy Happy,Pretyy Happy,NA,68,High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,28,Not Too Happy,NA,NA,47,Bachelors,"$25,000 or more",Catholic ,Dull
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,30,Bachelors,"$25,000 or more",None,Exciting
Married,No ,No ,23,Pretyy Happy,Pretyy Happy,NA,42,Associate,"$25,000 or more",Christian,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,35,Bachelors,"$25,000 or more",Other,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,Very Happy,29,Graduate,"$25,000 or more",None,Exciting
Separated,NA,No ,24,Not Too Happy,NA,NA,67,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,57,High School,"$10,000 to $14,999",Jewish ,Exciting
Married,No ,No ,21,Pretyy Happy,Pretyy Happy,NA,51,High School,"$25,000 or more",None,Exciting
Married,Yes,No ,21,Pretyy Happy,Pretyy Happy,NA,73,Graduate,"$25,000 or more",Other,Routine
Married,No ,No ,35,Pretyy Happy,Pretyy Happy,NA,44,Graduate,Refused,Catholic ,Routine
Married,Yes,Yes,15,Pretyy Happy,Pretyy Happy,NA,45,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,38,Graduate,"$20,000 to $24,999",Catholic ,Routine
Married,No ,No ,32,Pretyy Happy,Pretyy Happy,NA,35,Associate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,16,Not Too Happy,NA,NA,22,<High School,"$25,000 or more",None,Dull
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,30,Associate,"$15,000 to $19,999",Christian,Exciting
Married,No ,No ,32,Not Too Happy,Very Happy,NA,60,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,NA,Very Happy,Very Happy,NA,57,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,29,Not Too Happy,Pretyy Happy,NA,54,High School,"$25,000 or more",Catholic ,Routine
Married,Yes,No ,21,Very Happy,Very Happy,NA,61,High School,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,26,Bachelors,"$10,000 to $14,999",Protestant,Exciting
Married,Yes,No ,42,Pretyy Happy,Very Happy,NA,51,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,21,Not Too Happy,Very Happy,NA,51,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,24,Very Happy,NA,NA,56,High School,"$25,000 or more",Protestant,Exciting
Widowed,No ,NA,NA,Pretyy Happy,NA,NA,56,Graduate,"$25,000 or more",Protestant,Routine
Married,Yes,No ,34,Not Too Happy,Pretyy Happy,NA,54,Graduate,Refused,Protestant,Routine
Married,No ,No ,30,Very Happy,Very Happy,NA,36,Associate,"$25,000 or more",None,Exciting
Separated,NA,No ,32,Pretyy Happy,NA,NA,57,High School,"$15,000 to $19,999",Protestant,Routine
Married,No ,No ,30,Pretyy Happy,Very Happy,NA,74,Associate,"$25,000 or more",Catholic ,Exciting
Married,Yes,No ,40,Very Happy,Very Happy,NA,89,Graduate,"$25,000 or more",None,Routine
Married,Yes,No ,25,Very Happy,Very Happy,NA,79,Bachelors,Refused,None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,67,Graduate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,36,Pretyy Happy,NA,NA,47,Associate,"$25,000 or more",None,Routine
Married,Yes,No ,32,Pretyy Happy,Very Happy,NA,48,High School,"$25,000 or more",Protestant,Routine
Married,Yes,No ,NA,Very Happy,Very Happy,NA,51,Bachelors,"$25,000 or more",Catholic ,Exciting
Married,Yes,No ,21,Pretyy Happy,Pretyy Happy,NA,59,Associate,"$25,000 or more",Catholic ,Routine
Married,No ,No ,32,Pretyy Happy,Not Too Happy,NA,51,Graduate,Refused,Protestant,Routine
Married,No ,No ,20,Very Happy,Very Happy,NA,40,<High School,"$15,000 to $19,999",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,19,<High School,"<$1,000",Catholic ,Exciting
Married,No ,No ,28,Very Happy,Very Happy,NA,73,Bachelors,Refused,None,Exciting
Married,No ,No ,39,Pretyy Happy,Very Happy,NA,74,Graduate,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Not Too Happy,Very Happy,NA,68,Associate,"$25,000 or more",None,Routine
Married,Yes,No ,NA,Not Too Happy,Pretyy Happy,NA,63,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,56,High School,"$25,000 or more",Jewish ,Exciting
Married,No ,No ,33,Pretyy Happy,Pretyy Happy,NA,76,Graduate,Refused,Protestant,Exciting
Divorced,NA,No ,32,Very Happy,NA,NA,76,Graduate,"$1,000 to $2,999",None,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,31,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,30,Very Happy,Very Happy,NA,84,Bachelors,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,21,Pretyy Happy,Very Happy,NA,54,High School,Refused,Catholic ,Routine
Married,Yes,No ,23,Pretyy Happy,Pretyy Happy,NA,68,Graduate,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,38,Not Too Happy,Not Too Happy,NA,47,High School,Refused,None,Routine
Married,No ,No ,24,Pretyy Happy,Pretyy Happy,NA,41,Bachelors,"$25,000 or more",None,Exciting
Never Married,NA,NA,24,Pretyy Happy,NA,Pretyy Happy,31,High School,"$1,000 to $2,999",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,21,High School,"$25,000 or more",None,Routine
Separated,NA,No ,34,Not Too Happy,NA,NA,54,High School,"$25,000 or more",Protestant,Routine
Married,Yes,No ,30,Pretyy Happy,Pretyy Happy,NA,67,High School,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,50,Bachelors,"$25,000 or more",Catholic ,Routine
Widowed,No ,NA,NA,Pretyy Happy,NA,NA,58,Bachelors,"$25,000 or more",None,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,43,High School,"$25,000 or more",Jewish ,Routine
Married,No ,No ,40,Very Happy,Very Happy,NA,56,Bachelors,Refused,Protestant,Routine
Divorced,NA,No ,28,Pretyy Happy,NA,NA,52,<High School,"$15,000 to $19,999",None,Exciting
Married,Yes,No ,31,Pretyy Happy,Pretyy Happy,NA,73,Bachelors,"$25,000 or more",Catholic ,Routine
Married,Yes,No ,39,Not Too Happy,Not Too Happy,NA,44,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,16,Not Too Happy,NA,NA,46,Associate,"$25,000 or more",None,Routine
Never Married,NA,NA,18,Not Too Happy,NA,NA,35,Associate,"$20,000 to $24,999",Protestant,Routine
Never Married,NA,NA,18,Not Too Happy,NA,NA,53,High School,"$10,000 to $14,999",Buddhism,Routine
Divorced,NA,No ,18,Not Too Happy,NA,NA,47,Associate,"$15,000 to $19,999",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,63,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,25,Pretyy Happy,Very Happy,NA,27,High School,"$25,000 or more",None,Exciting
Married,Yes,No ,21,Very Happy,Very Happy,NA,80,Associate,"$25,000 or more",None,Exciting
Married,No ,No ,NA,Not Too Happy,Pretyy Happy,NA,59,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,21,Pretyy Happy,NA,Pretyy Happy,67,High School,"$3,000 to $3,999",Protestant,Routine
Married,No ,No ,32,Pretyy Happy,Pretyy Happy,NA,34,Graduate,"$25,000 or more",None,Routine
Never Married,NA,NA,27,Pretyy Happy,NA,NA,66,Graduate,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,Very Happy,26,High School,"$25,000 or more",Jewish ,Routine
Never Married,NA,NA,NA,Very Happy,NA,NA,24,High School,"<$1,000",Other,Routine
Married,No ,No ,36,Not Too Happy,Very Happy,NA,65,Graduate,"$25,000 or more",None,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,53,High School,"$25,000 or more",Catholic ,Routine
Married,Yes,No ,25,Not Too Happy,Very Happy,NA,55,Associate,"$25,000 or more",Protestant,Dull
Married,No ,No ,27,Pretyy Happy,Very Happy,NA,72,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,30,Pretyy Happy,NA,Very Happy,44,Bachelors,Refused,None,Exciting
Never Married,NA,NA,NA,Very Happy,NA,Very Happy,28,Bachelors,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,19,Pretyy Happy,NA,NA,43,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,22,Pretyy Happy,NA,NA,54,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,24,Pretyy Happy,NA,NA,69,High School,"$25,000 or more",Muslim,Routine
Married,No ,No ,31,Pretyy Happy,Very Happy,NA,39,Graduate,Refused,Buddhism,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,39,Associate,"<$1,000",Christian,Exciting
Divorced,NA,No ,28,Pretyy Happy,NA,NA,66,Bachelors,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,22,Pretyy Happy,NA,Pretyy Happy,59,Associate,"$25,000 or more",Catholic ,Routine
Married,No ,No ,20,Pretyy Happy,Very Happy,NA,81,High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,Pretyy Happy,29,High School,"$25,000 or more",None,Routine
Married,No ,No ,32,Very Happy,Very Happy,NA,63,Bachelors,Refused,Protestant,Exciting
Divorced,NA,No ,NA,Not Too Happy,NA,NA,69,Associate,"$15,000 to $19,999",Catholic ,Dull
Married,Yes,No ,27,Very Happy,Very Happy,NA,47,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,21,Pretyy Happy,Pretyy Happy,NA,46,High School,"$25,000 or more",Catholic ,Routine
Widowed,No ,NA,27,Pretyy Happy,NA,NA,74,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,63,Bachelors,"$5,000 to $5,999",Protestant,Routine
Married,Yes,No ,20,Not Too Happy,Pretyy Happy,NA,34,Associate,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,30,High School,"$25,000 or more",None,Exciting
Married,No ,No ,39,Pretyy Happy,Pretyy Happy,NA,44,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,40,Pretyy Happy,Very Happy,NA,56,Graduate,"$25,000 or more",None,Exciting
Never Married,NA,NA,46,Pretyy Happy,NA,NA,67,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,33,Pretyy Happy,Pretyy Happy,NA,39,Bachelors,"$25,000 or more",None,Routine
Divorced,NA,No ,NA,Very Happy,NA,NA,39,Bachelors,"$25,000 or more",None,Exciting
Never Married,NA,NA,20,Pretyy Happy,NA,NA,43,Associate,"$10,000 to $14,999",Protestant,Exciting
Married,No ,No ,17,Very Happy,Very Happy,NA,57,High School,"<$1,000",Protestant,Dull
Married,No ,No ,28,Very Happy,Very Happy,NA,69,High School,"$20,000 to $24,999",Protestant,Exciting
Married,No ,No ,19,Very Happy,Very Happy,NA,46,High School,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,27,Pretyy Happy,Very Happy,NA,59,Graduate,"$25,000 or more",Protestant,Routine
Separated,NA,Yes,21,Not Too Happy,NA,NA,61,High School,"$1,000 to $2,999",Protestant,Routine
Widowed,No ,NA,32,Pretyy Happy,NA,NA,82,Bachelors,"$15,000 to $19,999",None,Exciting
Divorced,NA,No ,23,Pretyy Happy,NA,NA,50,Associate,"$25,000 or more",None,Routine
Married,Yes,No ,20,Not Too Happy,Very Happy,NA,60,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,28,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,30,Graduate,"$25,000 or more",Protestant,Routine
Married,No ,No ,28,Pretyy Happy,Very Happy,NA,33,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,25,Pretyy Happy,NA,Very Happy,42,Bachelors,"$25,000 or more",Christian,Routine
Never Married,NA,NA,21,Very Happy,NA,Very Happy,37,High School,"$15,000 to $19,999",None,Exciting
Married,Yes,No ,23,Very Happy,Very Happy,NA,61,High School,"$25,000 or more",Catholic ,Exciting
Married,Yes,No ,26,Very Happy,Very Happy,NA,73,Bachelors,Refused,Protestant,Routine
Married,Yes,No ,21,Not Too Happy,Very Happy,NA,77,High School,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,20,Very Happy,Very Happy,NA,56,High School,Refused,Protestant,Routine
Married,No ,No ,NA,Not Too Happy,Very Happy,NA,30,Bachelors,"$25,000 or more",None,Routine
Never Married,NA,NA,33,Pretyy Happy,NA,NA,78,<High School,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,29,High School,"$25,000 or more",Catholic ,Routine
Separated,Yes,No ,18,Pretyy Happy,NA,NA,27,High School,"$15,000 to $19,999",Protestant,Routine
Never Married,NA,NA,NA,Very Happy,NA,Very Happy,24,Bachelors,"$10,000 to $14,999",Catholic ,Exciting
Divorced,NA,No ,21,Pretyy Happy,NA,Not Too Happy,44,High School,"<$1,000",Protestant,Exciting
Married,No ,No ,19,Pretyy Happy,Very Happy,NA,75,Associate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,26,Pretyy Happy,Pretyy Happy,NA,59,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,71,High School,"$10,000 to $14,999",Protestant,Routine
Married,No ,No ,26,Very Happy,Very Happy,NA,29,High School,"$15,000 to $19,999",None,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,43,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,22,Pretyy Happy,Pretyy Happy,NA,67,High School,"$25,000 or more",Catholic ,Routine
Married,No ,No ,NA,Pretyy Happy,Pretyy Happy,NA,44,Graduate,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,67,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,26,Very Happy,Very Happy,NA,74,Bachelors,"$25,000 or more",Protestant,Routine
Married,Yes,No ,34,Very Happy,Very Happy,NA,38,High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,35,Pretyy Happy,NA,NA,51,Bachelors,Refused,Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,35,High School,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,79,Graduate,"$25,000 or more",Catholic ,Routine
Married,No ,No ,24,Very Happy,Pretyy Happy,NA,43,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,24,Very Happy,Very Happy,NA,84,High School,"$25,000 or more",Protestant,Exciting
Married,No ,No ,22,Very Happy,Very Happy,NA,41,Bachelors,"$25,000 or more",None,Exciting
Married,No ,No ,25,Very Happy,Very Happy,NA,37,High School,"$25,000 or more",Protestant,Routine
Married,No ,Yes,20,Very Happy,Pretyy Happy,NA,85,High School,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,18,Very Happy,NA,NA,56,High School,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,68,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,32,Pretyy Happy,Very Happy,NA,55,Graduate,"$25,000 or more",Catholic ,Exciting
Divorced,NA,No ,19,Pretyy Happy,NA,NA,41,Associate,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,20,Not Too Happy,Pretyy Happy,NA,63,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,26,Pretyy Happy,Very Happy,NA,41,Graduate,Refused,None,Exciting
Married,No ,No ,23,Pretyy Happy,Very Happy,NA,40,Bachelors,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,24,Bachelors,"$15,000 to $19,999",None,Routine
Married,Yes,No ,39,Pretyy Happy,Pretyy Happy,NA,57,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,33,Graduate,Refused,None,Routine
Divorced,NA,No ,21,Not Too Happy,NA,NA,53,Associate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,23,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,22,Pretyy Happy,NA,NA,38,<High School,"<$1,000",Protestant,Exciting
Married,Yes,No ,16,Pretyy Happy,Pretyy Happy,NA,59,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,29,Pretyy Happy,Very Happy,NA,52,Bachelors,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,25,Not Too Happy,NA,NA,74,Bachelors,"$15,000 to $19,999",Protestant,Dull
Married,No ,No ,37,Pretyy Happy,Pretyy Happy,NA,50,Graduate,"$25,000 or more",Protestant,Routine
Married,Yes,No ,32,Very Happy,Very Happy,NA,78,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,38,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,20,Very Happy,NA,Very Happy,64,Associate,"$10,000 to $14,999",Protestant,Exciting
Married,No ,No ,21,Pretyy Happy,Pretyy Happy,NA,78,High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,28,Pretyy Happy,NA,NA,85,Bachelors,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,26,Graduate,Refused,Orthodox-Christian,Routine
Married,No ,No ,18,Pretyy Happy,Very Happy,NA,65,High School,"$25,000 or more",Christian,Exciting
Widowed,No ,NA,24,Pretyy Happy,NA,NA,66,High School,"$25,000 or more",None,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,36,High School,"$25,000 or more",None,Routine
Divorced,NA,No ,27,Pretyy Happy,NA,NA,53,Bachelors,"$10,000 to $14,999",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,44,Bachelors,"$20,000 to $24,999",Protestant,Routine
Never Married,NA,NA,20,Pretyy Happy,NA,NA,44,Graduate,"$25,000 or more",Christian,Routine
Widowed,No ,NA,NA,Pretyy Happy,NA,NA,44,Associate,"$20,000 to $24,999",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,39,Bachelors,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,23,Pretyy Happy,NA,NA,55,High School,"$25,000 or more",Buddhism,Routine
Widowed,No ,NA,NA,Pretyy Happy,NA,NA,71,Associate,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,25,Bachelors,"$25,000 or more",Jewish ,Exciting
Married,No ,No ,23,Very Happy,Very Happy,NA,67,High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,30,Graduate,Refused,Hinduism,Routine
Never Married,NA,NA,28,Pretyy Happy,NA,NA,46,Bachelors,"$15,000 to $19,999",Protestant,Routine
Married,No ,No ,22,Very Happy,Very Happy,NA,75,Associate,"$25,000 or more",Protestant,Exciting
Married,NA,No ,19,Pretyy Happy,Very Happy,NA,58,High School,"$15,000 to $19,999",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,59,High School,"$25,000 or more",None,Routine
Married,No ,No ,27,Pretyy Happy,Very Happy,NA,60,Associate,"$25,000 or more",None,Exciting
Married,Yes,No ,24,Pretyy Happy,Very Happy,NA,62,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,26,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,34,Pretyy Happy,Pretyy Happy,NA,47,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,NA,Not Too Happy,NA,NA,69,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,28,Not Too Happy,Not Too Happy,NA,41,Associate,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,50,Bachelors,Refused,None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,32,Bachelors,"$25,000 or more",Protestant,Routine
Married,Yes,No ,18,Pretyy Happy,Pretyy Happy,NA,59,High School,"$25,000 or more",Christian,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,58,High School,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,30,Pretyy Happy,Pretyy Happy,NA,67,Graduate,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,19,High School,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,55,<High School,"$10,000 to $14,999",Catholic ,Exciting
Never Married,NA,NA,20,Not Too Happy,NA,NA,30,Bachelors,"$25,000 or more",None,Routine
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,77,Graduate,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,42,Bachelors,Refused,None,Routine
Widowed,No ,NA,27,Pretyy Happy,NA,NA,89,Graduate,"$25,000 or more",Catholic ,Exciting
Divorced,NA,No ,30,Not Too Happy,NA,NA,64,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,24,Pretyy Happy,Pretyy Happy,NA,61,Associate,Refused,Catholic ,Exciting
Widowed,No ,NA,NA,Pretyy Happy,NA,NA,65,Graduate,"$20,000 to $24,999",Other,Exciting
Married,Yes,No ,23,Not Too Happy,Very Happy,NA,75,<High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,NA,Very Happy,NA,Very Happy,43,High School,"$8,000 to $9,999",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,39,High School,"$25,000 or more",None,Exciting
Married,Yes,No ,23,Pretyy Happy,Very Happy,NA,71,High School,"$25,000 or more",Other,Exciting
Widowed,No ,NA,22,Pretyy Happy,NA,NA,84,Bachelors,"$25,000 or more",Jewish ,Routine
Divorced,NA,No ,NA,Not Too Happy,NA,NA,80,<High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,40,Not Too Happy,NA,NA,62,High School,"$25,000 or more",None,Routine
Divorced,NA,Yes,23,Pretyy Happy,NA,NA,69,Graduate,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,18,Pretyy Happy,Pretyy Happy,NA,63,High School,"$25,000 or more",None,Exciting
Married,Yes,No ,20,Pretyy Happy,Pretyy Happy,NA,68,Graduate,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,76,High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,18,Pretyy Happy,NA,NA,70,High School,"$25,000 or more",Protestant,Dull
Divorced,NA,No ,34,Pretyy Happy,NA,NA,74,Graduate,"$25,000 or more",Jewish ,Exciting
Widowed,No ,NA,NA,Very Happy,NA,Very Happy,59,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,28,Bachelors,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,29,Bachelors,"$25,000 or more",Protestant,Exciting
