"","marital","divorce","widowed","agekdbrn","happy","hapmar","hapcohab","age","degree","income","relgion","life"
"1735","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,38,"Graduate","$20,000 to $24,999","Catholic ","Routine"
"1736","Married","No ","No ",32,"Pretyy Happy","Pretyy Happy",NA,35,"Associate","$25,000 or more","Protestant","Exciting"
"1737","Never Married",NA,NA,16,"Not Too Happy",NA,NA,22,"<High School","$25,000 or more","None","Dull"
"1738","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,30,"Associate","$15,000 to $19,999","Christian","Exciting"
"1739","Married","No ","No ",32,"Not Too Happy","Very Happy",NA,60,"Graduate","$25,000 or more","Protestant","Exciting"
"1740","Married","No ","No ",NA,"Very Happy","Very Happy",NA,57,"Bachelors","$25,000 or more","Protestant","Exciting"
"1741","Married","No ","No ",29,"Not Too Happy","Pretyy Happy",NA,54,"High School","$25,000 or more","Catholic ","Routine"
"1742","Married","Yes","No ",21,"Very Happy","Very Happy",NA,61,"High School","$25,000 or more","Catholic ","Exciting"
"1743","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,26,"Bachelors","$10,000 to $14,999","Protestant","Exciting"
"1744","Married","Yes","No ",42,"Pretyy Happy","Very Happy",NA,51,"Bachelors","$25,000 or more","Protestant","Routine"
"1745","Married","No ","No ",21,"Not Too Happy","Very Happy",NA,51,"High School","$25,000 or more","None","Routine"
"1746","Divorced",NA,"No ",24,"Very Happy",NA,NA,56,"High School","$25,000 or more","Protestant","Exciting"
"1747","Widowed","No ",NA,NA,"Pretyy Happy",NA,NA,56,"Graduate","$25,000 or more","Protestant","Routine"
"1748","Married","Yes","No ",34,"Not Too Happy","Pretyy Happy",NA,54,"Graduate","Refused","Protestant","Routine"
"1749","Married","No ","No ",30,"Very Happy","Very Happy",NA,36,"Associate","$25,000 or more","None","Exciting"
"1750","Separated",NA,"No ",32,"Pretyy Happy",NA,NA,57,"High School","$15,000 to $19,999","Protestant","Routine"
"1751","Married","No ","No ",30,"Pretyy Happy","Very Happy",NA,74,"Associate","$25,000 or more","Catholic ","Exciting"
"1752","Married","Yes","No ",40,"Very Happy","Very Happy",NA,89,"Graduate","$25,000 or more","None","Routine"
"1753","Married","Yes","No ",25,"Very Happy","Very Happy",NA,79,"Bachelors","Refused","None","Routine"
"1754","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,67,"Graduate","$25,000 or more","Protestant","Routine"
"1755","Divorced",NA,"No ",36,"Pretyy Happy",NA,NA,47,"Associate","$25,000 or more","None","Routine"
"1756","Married","Yes","No ",32,"Pretyy Happy","Very Happy",NA,48,"High School","$25,000 or more","Protestant","Routine"
"1757","Married","Yes","No ",NA,"Very Happy","Very Happy",NA,51,"Bachelors","$25,000 or more","Catholic ","Exciting"
"1758","Married","Yes","No ",21,"Pretyy Happy","Pretyy Happy",NA,59,"Associate","$25,000 or more","Catholic ","Routine"
"1759","Married","No ","No ",32,"Pretyy Happy","Not Too Happy",NA,51,"Graduate","Refused","Protestant","Routine"
"1760","Married","No ","No ",20,"Very Happy","Very Happy",NA,40,"<High School","$15,000 to $19,999","Protestant","Routine"
"1761","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,19,"<High School","<$1,000","Catholic ","Exciting"
"1762","Married","No ","No ",28,"Very Happy","Very Happy",NA,73,"Bachelors","Refused","None","Exciting"
"1763","Married","No ","No ",39,"Pretyy Happy","Very Happy",NA,74,"Graduate","$25,000 or more","Protestant","Routine"
"1764","Married","No ","No ",NA,"Not Too Happy","Very Happy",NA,68,"Associate","$25,000 or more","None","Routine"
"1765","Married","Yes","No ",NA,"Not Too Happy","Pretyy Happy",NA,63,"Bachelors","$25,000 or more","Protestant","Routine"
"1766","Married","No ","No ",NA,"Pretyy Happy","Pretyy Happy",NA,56,"High School","$25,000 or more","Jewish ","Exciting"
"1767","Married","No ","No ",33,"Pretyy Happy","Pretyy Happy",NA,76,"Graduate","Refused","Protestant","Exciting"
"1768","Divorced",NA,"No ",32,"Very Happy",NA,NA,76,"Graduate","$1,000 to $2,999","None","Exciting"
"1769","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,31,"Graduate","$25,000 or more","None","Routine"
"1770","Married","No ","No ",30,"Very Happy","Very Happy",NA,84,"Bachelors","$25,000 or more","Protestant","Exciting"
"1771","Married","Yes","No ",21,"Pretyy Happy","Very Happy",NA,54,"High School","Refused","Catholic ","Routine"
"1772","Married","Yes","No ",23,"Pretyy Happy","Pretyy Happy",NA,68,"Graduate","$25,000 or more","Catholic ","Exciting"
"1773","Married","No ","No ",38,"Not Too Happy","Not Too Happy",NA,47,"High School","Refused","None","Routine"
"1774","Married","No ","No ",24,"Pretyy Happy","Pretyy Happy",NA,41,"Bachelors","$25,000 or more","None","Exciting"
"1775","Never Married",NA,NA,24,"Pretyy Happy",NA,"Pretyy Happy",31,"High School","$1,000 to $2,999","None","Routine"
"1776","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,21,"High School","$25,000 or more","None","Routine"
"1777","Separated",NA,"No ",34,"Not Too Happy",NA,NA,54,"High School","$25,000 or more","Protestant","Routine"
"1778","Married","Yes","No ",30,"Pretyy Happy","Pretyy Happy",NA,67,"High School","$25,000 or more","Catholic ","Exciting"
"1779","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,50,"Bachelors","$25,000 or more","Catholic ","Routine"
"1780","Widowed","No ",NA,NA,"Pretyy Happy",NA,NA,58,"Bachelors","$25,000 or more","None","Exciting"
"1781","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,43,"High School","$25,000 or more","Jewish ","Routine"
"1782","Married","No ","No ",40,"Very Happy","Very Happy",NA,56,"Bachelors","Refused","Protestant","Routine"
"1783","Divorced",NA,"No ",28,"Pretyy Happy",NA,NA,52,"<High School","$15,000 to $19,999","None","Exciting"
"1784","Married","Yes","No ",31,"Pretyy Happy","Pretyy Happy",NA,73,"Bachelors","$25,000 or more","Catholic ","Routine"
"1785","Married","Yes","No ",39,"Not Too Happy","Not Too Happy",NA,44,"High School","$25,000 or more","Protestant","Exciting"
"1786","Never Married",NA,NA,16,"Not Too Happy",NA,NA,46,"Associate","$25,000 or more","None","Routine"
"1787","Never Married",NA,NA,18,"Not Too Happy",NA,NA,35,"Associate","$20,000 to $24,999","Protestant","Routine"
"1788","Never Married",NA,NA,18,"Not Too Happy",NA,NA,53,"High School","$10,000 to $14,999","Buddhism","Routine"
"1789","Divorced",NA,"No ",18,"Not Too Happy",NA,NA,47,"Associate","$15,000 to $19,999","None","Routine"
"1790","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,63,"Bachelors","$25,000 or more","Catholic ","Routine"
"1791","Married","No ","No ",25,"Pretyy Happy","Very Happy",NA,27,"High School","$25,000 or more","None","Exciting"
"1792","Married","Yes","No ",21,"Very Happy","Very Happy",NA,80,"Associate","$25,000 or more","None","Exciting"
"1793","Married","No ","No ",NA,"Not Too Happy","Pretyy Happy",NA,59,"Bachelors","$25,000 or more","Protestant","Routine"
"1794","Divorced",NA,"No ",21,"Pretyy Happy",NA,"Pretyy Happy",67,"High School","$3,000 to $3,999","Protestant","Routine"
"1795","Married","No ","No ",32,"Pretyy Happy","Pretyy Happy",NA,34,"Graduate","$25,000 or more","None","Routine"
"1796","Never Married",NA,NA,27,"Pretyy Happy",NA,NA,66,"Graduate","$25,000 or more","None","Routine"
"1797","Never Married",NA,NA,NA,"Not Too Happy",NA,"Very Happy",26,"High School","$25,000 or more","Jewish ","Routine"
"1798","Never Married",NA,NA,NA,"Very Happy",NA,NA,24,"High School","<$1,000","Other","Routine"
"1799","Married","No ","No ",36,"Not Too Happy","Very Happy",NA,65,"Graduate","$25,000 or more","None","Exciting"
"1800","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,53,"High School","$25,000 or more","Catholic ","Routine"
"1801","Married","Yes","No ",25,"Not Too Happy","Very Happy",NA,55,"Associate","$25,000 or more","Protestant","Dull"
"1802","Married","No ","No ",27,"Pretyy Happy","Very Happy",NA,72,"Bachelors","$25,000 or more","Protestant","Routine"
"1803","Divorced",NA,"No ",30,"Pretyy Happy",NA,"Very Happy",44,"Bachelors","Refused","None","Exciting"
"1804","Never Married",NA,NA,NA,"Very Happy",NA,"Very Happy",28,"Bachelors","$25,000 or more","Catholic ","Routine"
"1805","Never Married",NA,NA,19,"Pretyy Happy",NA,NA,43,"High School","$25,000 or more","Protestant","Routine"
"1806","Divorced",NA,"No ",22,"Pretyy Happy",NA,NA,54,"High School","$25,000 or more","Protestant","Routine"
"1807","Divorced",NA,"No ",24,"Pretyy Happy",NA,NA,69,"High School","$25,000 or more","Muslim","Routine"
"1808","Married","No ","No ",31,"Pretyy Happy","Very Happy",NA,39,"Graduate","Refused","Buddhism","Exciting"
"1809","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,39,"Associate","<$1,000","Christian","Exciting"
"1810","Divorced",NA,"No ",28,"Pretyy Happy",NA,NA,66,"Bachelors","$25,000 or more","Catholic ","Routine"
"1811","Divorced",NA,"No ",22,"Pretyy Happy",NA,"Pretyy Happy",59,"Associate","$25,000 or more","Catholic ","Routine"
"1812","Married","No ","No ",20,"Pretyy Happy","Very Happy",NA,81,"High School","$25,000 or more","Catholic ","Routine"
"1813","Never Married",NA,NA,NA,"Not Too Happy",NA,"Pretyy Happy",29,"High School","$25,000 or more","None","Routine"
"1814","Married","No ","No ",32,"Very Happy","Very Happy",NA,63,"Bachelors","Refused","Protestant","Exciting"
"1815","Divorced",NA,"No ",NA,"Not Too Happy",NA,NA,69,"Associate","$15,000 to $19,999","Catholic ","Dull"
"1816","Married","Yes","No ",27,"Very Happy","Very Happy",NA,47,"Bachelors","$25,000 or more","Catholic ","Routine"
"1817","Married","No ","No ",21,"Pretyy Happy","Pretyy Happy",NA,46,"High School","$25,000 or more","Catholic ","Routine"
"1818","Widowed","No ",NA,27,"Pretyy Happy",NA,NA,74,"Graduate","$25,000 or more","None","Routine"
"1819","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,63,"Bachelors","$5,000 to $5,999","Protestant","Routine"
"1820","Married","Yes","No ",20,"Not Too Happy","Pretyy Happy",NA,34,"Associate","$25,000 or more","Protestant","Routine"
"1821","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,30,"High School","$25,000 or more","None","Exciting"
"1822","Married","No ","No ",39,"Pretyy Happy","Pretyy Happy",NA,44,"Graduate","$25,000 or more","None","Routine"
"1823","Married","No ","No ",40,"Pretyy Happy","Very Happy",NA,56,"Graduate","$25,000 or more","None","Exciting"
"1824","Never Married",NA,NA,46,"Pretyy Happy",NA,NA,67,"Bachelors","$25,000 or more","Catholic ","Routine"
"1825","Married","No ","No ",33,"Pretyy Happy","Pretyy Happy",NA,39,"Bachelors","$25,000 or more","None","Routine"
"1826","Divorced",NA,"No ",NA,"Very Happy",NA,NA,39,"Bachelors","$25,000 or more","None","Exciting"
"1827","Never Married",NA,NA,20,"Pretyy Happy",NA,NA,43,"Associate","$10,000 to $14,999","Protestant","Exciting"
"1828","Married","No ","No ",17,"Very Happy","Very Happy",NA,57,"High School","<$1,000","Protestant","Dull"
"1829","Married","No ","No ",28,"Very Happy","Very Happy",NA,69,"High School","$20,000 to $24,999","Protestant","Exciting"
"1830","Married","No ","No ",19,"Very Happy","Very Happy",NA,46,"High School","$25,000 or more","Catholic ","Exciting"
"1831","Married","No ","No ",27,"Pretyy Happy","Very Happy",NA,59,"Graduate","$25,000 or more","Protestant","Routine"
"1832","Separated",NA,"Yes",21,"Not Too Happy",NA,NA,61,"High School","$1,000 to $2,999","Protestant","Routine"
"1833","Widowed","No ",NA,32,"Pretyy Happy",NA,NA,82,"Bachelors","$15,000 to $19,999","None","Exciting"
"1834","Divorced",NA,"No ",23,"Pretyy Happy",NA,NA,50,"Associate","$25,000 or more","None","Routine"
"1835","Married","Yes","No ",20,"Not Too Happy","Very Happy",NA,60,"High School","$25,000 or more","Protestant","Routine"
"1836","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,28,"Bachelors","$25,000 or more","None","Routine"
"1837","Married","No ","No ",NA,"Very Happy","Very Happy",NA,30,"Graduate","$25,000 or more","Protestant","Routine"
"1838","Married","No ","No ",28,"Pretyy Happy","Very Happy",NA,33,"Bachelors","$25,000 or more","Protestant","Routine"
"1839","Never Married",NA,NA,25,"Pretyy Happy",NA,"Very Happy",42,"Bachelors","$25,000 or more","Christian","Routine"
"1840","Never Married",NA,NA,21,"Very Happy",NA,"Very Happy",37,"High School","$15,000 to $19,999","None","Exciting"
"1841","Married","Yes","No ",23,"Very Happy","Very Happy",NA,61,"High School","$25,000 or more","Catholic ","Exciting"
"1842","Married","Yes","No ",26,"Very Happy","Very Happy",NA,73,"Bachelors","Refused","Protestant","Routine"
"1843","Married","Yes","No ",21,"Not Too Happy","Very Happy",NA,77,"High School","$25,000 or more","Protestant","Exciting"
"1844","Married","Yes","No ",20,"Very Happy","Very Happy",NA,56,"High School","Refused","Protestant","Routine"
"1845","Married","No ","No ",NA,"Not Too Happy","Very Happy",NA,30,"Bachelors","$25,000 or more","None","Routine"
"1846","Never Married",NA,NA,33,"Pretyy Happy",NA,NA,78,"<High School","$25,000 or more","Catholic ","Exciting"
"1847","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,29,"High School","$25,000 or more","Catholic ","Routine"
"1848","Separated","Yes","No ",18,"Pretyy Happy",NA,NA,27,"High School","$15,000 to $19,999","Protestant","Routine"
"1849","Never Married",NA,NA,NA,"Very Happy",NA,"Very Happy",24,"Bachelors","$10,000 to $14,999","Catholic ","Exciting"
"1850","Divorced",NA,"No ",21,"Pretyy Happy",NA,"Not Too Happy",44,"High School","<$1,000","Protestant","Exciting"
"1851","Married","No ","No ",19,"Pretyy Happy","Very Happy",NA,75,"Associate","$25,000 or more","Protestant","Exciting"
"1852","Married","No ","No ",26,"Pretyy Happy","Pretyy Happy",NA,59,"Graduate","$25,000 or more","Protestant","Exciting"
"1853","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,71,"High School","$10,000 to $14,999","Protestant","Routine"
"1854","Married","No ","No ",26,"Very Happy","Very Happy",NA,29,"High School","$15,000 to $19,999","None","Routine"
"1855","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,43,"Bachelors","$25,000 or more","None","Routine"
"1856","Married","No ","No ",22,"Pretyy Happy","Pretyy Happy",NA,67,"High School","$25,000 or more","Catholic ","Routine"
"1857","Married","No ","No ",NA,"Pretyy Happy","Pretyy Happy",NA,44,"Graduate","$25,000 or more","Protestant","Routine"
"1858","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,67,"Graduate","$25,000 or more","Protestant","Exciting"
"1859","Married","No ","No ",26,"Very Happy","Very Happy",NA,74,"Bachelors","$25,000 or more","Protestant","Routine"
"1860","Married","Yes","No ",34,"Very Happy","Very Happy",NA,38,"High School","$25,000 or more","Catholic ","Routine"
"1861","Divorced",NA,"No ",35,"Pretyy Happy",NA,NA,51,"Bachelors","Refused","Catholic ","Routine"
"1862","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,35,"High School","$25,000 or more","Catholic ","Exciting"
"1863","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,79,"Graduate","$25,000 or more","Catholic ","Routine"
"1864","Married","No ","No ",24,"Very Happy","Pretyy Happy",NA,43,"Bachelors","$25,000 or more","Protestant","Routine"
"1865","Married","No ","No ",24,"Very Happy","Very Happy",NA,84,"High School","$25,000 or more","Protestant","Exciting"
"1866","Married","No ","No ",22,"Very Happy","Very Happy",NA,41,"Bachelors","$25,000 or more","None","Exciting"
"1867","Married","No ","No ",25,"Very Happy","Very Happy",NA,37,"High School","$25,000 or more","Protestant","Routine"
"1868","Married","No ","Yes",20,"Very Happy","Pretyy Happy",NA,85,"High School","$25,000 or more","Protestant","Exciting"
"1869","Divorced",NA,"No ",18,"Very Happy",NA,NA,56,"High School","$25,000 or more","Catholic ","Exciting"
"1870","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,68,"High School","$25,000 or more","Protestant","Routine"
"1871","Married","No ","No ",32,"Pretyy Happy","Very Happy",NA,55,"Graduate","$25,000 or more","Catholic ","Exciting"
"1872","Divorced",NA,"No ",19,"Pretyy Happy",NA,NA,41,"Associate","$25,000 or more","Protestant","Exciting"
"1873","Married","Yes","No ",20,"Not Too Happy","Pretyy Happy",NA,63,"High School","$25,000 or more","Protestant","Routine"
"1874","Married","No ","No ",26,"Pretyy Happy","Very Happy",NA,41,"Graduate","Refused","None","Exciting"
"1875","Married","No ","No ",23,"Pretyy Happy","Very Happy",NA,40,"Bachelors","$25,000 or more","Protestant","Exciting"
"1876","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",24,"Bachelors","$15,000 to $19,999","None","Routine"
"1877","Married","Yes","No ",39,"Pretyy Happy","Pretyy Happy",NA,57,"Bachelors","$25,000 or more","Catholic ","Routine"
"1878","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,33,"Graduate","Refused","None","Routine"
"1879","Divorced",NA,"No ",21,"Not Too Happy",NA,NA,53,"Associate","$25,000 or more","Protestant","Exciting"
"1880","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",23,"Bachelors","$25,000 or more","Protestant","Routine"
"1881","Divorced",NA,"No ",22,"Pretyy Happy",NA,NA,38,"<High School","<$1,000","Protestant","Exciting"
"1882","Married","Yes","No ",16,"Pretyy Happy","Pretyy Happy",NA,59,"High School","$25,000 or more","Protestant","Routine"
"1883","Married","No ","No ",29,"Pretyy Happy","Very Happy",NA,52,"Bachelors","$25,000 or more","Catholic ","Routine"
"1884","Divorced",NA,"No ",25,"Not Too Happy",NA,NA,74,"Bachelors","$15,000 to $19,999","Protestant","Dull"
"1885","Married","No ","No ",37,"Pretyy Happy","Pretyy Happy",NA,50,"Graduate","$25,000 or more","Protestant","Routine"
"1886","Married","Yes","No ",32,"Very Happy","Very Happy",NA,78,"Graduate","$25,000 or more","Protestant","Exciting"
"1887","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,38,"High School","$25,000 or more","Protestant","Routine"
"1888","Divorced",NA,"No ",20,"Very Happy",NA,"Very Happy",64,"Associate","$10,000 to $14,999","Protestant","Exciting"
"1889","Married","No ","No ",21,"Pretyy Happy","Pretyy Happy",NA,78,"High School","$25,000 or more","Catholic ","Routine"
"1890","Divorced",NA,"No ",28,"Pretyy Happy",NA,NA,85,"Bachelors","$25,000 or more","Catholic ","Routine"
"1891","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,26,"Graduate","Refused","Orthodox-Christian","Routine"
"1892","Married","No ","No ",18,"Pretyy Happy","Very Happy",NA,65,"High School","$25,000 or more","Christian","Exciting"
"1893","Widowed","No ",NA,24,"Pretyy Happy",NA,NA,66,"High School","$25,000 or more","None","Exciting"
"1894","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,36,"High School","$25,000 or more","None","Routine"
"1895","Divorced",NA,"No ",27,"Pretyy Happy",NA,NA,53,"Bachelors","$10,000 to $14,999","Protestant","Routine"
"1896","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,44,"Bachelors","$20,000 to $24,999","Protestant","Routine"
"1897","Never Married",NA,NA,20,"Pretyy Happy",NA,NA,44,"Graduate","$25,000 or more","Christian","Routine"
"1898","Widowed","No ",NA,NA,"Pretyy Happy",NA,NA,44,"Associate","$20,000 to $24,999","None","Routine"
"1899","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,39,"Bachelors","$25,000 or more","Catholic ","Routine"
"1900","Divorced",NA,"No ",23,"Pretyy Happy",NA,NA,55,"High School","$25,000 or more","Buddhism","Routine"
"1901","Widowed","No ",NA,NA,"Pretyy Happy",NA,NA,71,"Associate","$25,000 or more","Catholic ","Exciting"
"1902","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,25,"Bachelors","$25,000 or more","Jewish ","Exciting"
"1903","Married","No ","No ",23,"Very Happy","Very Happy",NA,67,"High School","$25,000 or more","Catholic ","Routine"
"1904","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",30,"Graduate","Refused","Hinduism","Routine"
"1905","Never Married",NA,NA,28,"Pretyy Happy",NA,NA,46,"Bachelors","$15,000 to $19,999","Protestant","Routine"
"1906","Married","No ","No ",22,"Very Happy","Very Happy",NA,75,"Associate","$25,000 or more","Protestant","Exciting"
"1907","Married",NA,"No ",19,"Pretyy Happy","Very Happy",NA,58,"High School","$15,000 to $19,999","Protestant","Routine"
"1908","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,59,"High School","$25,000 or more","None","Routine"
"1909","Married","No ","No ",27,"Pretyy Happy","Very Happy",NA,60,"Associate","$25,000 or more","None","Exciting"
"1910","Married","Yes","No ",24,"Pretyy Happy","Very Happy",NA,62,"High School","$25,000 or more","Protestant","Exciting"
"1911","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,26,"Bachelors","$25,000 or more","None","Routine"
"1912","Married","No ","No ",34,"Pretyy Happy","Pretyy Happy",NA,47,"Bachelors","$25,000 or more","Protestant","Routine"
"1913","Divorced",NA,"No ",NA,"Not Too Happy",NA,NA,69,"Bachelors","$25,000 or more","Protestant","Exciting"
"1914","Married","No ","No ",28,"Not Too Happy","Not Too Happy",NA,41,"Associate","$25,000 or more","Protestant","Routine"
"1915","Married","No ","No ",NA,"Very Happy","Very Happy",NA,50,"Bachelors","Refused","None","Routine"
"1916","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,32,"Bachelors","$25,000 or more","Protestant","Routine"
"1917","Married","Yes","No ",18,"Pretyy Happy","Pretyy Happy",NA,59,"High School","$25,000 or more","Christian","Exciting"
"1918","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,58,"High School","$25,000 or more","Protestant","Exciting"
"1919","Married","Yes","No ",30,"Pretyy Happy","Pretyy Happy",NA,67,"Graduate","$25,000 or more","Protestant","Routine"
"1920","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",19,"High School","$25,000 or more","None","Routine"
"1921","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,55,"<High School","$10,000 to $14,999","Catholic ","Exciting"
"1922","Never Married",NA,NA,20,"Not Too Happy",NA,NA,30,"Bachelors","$25,000 or more","None","Routine"
"1923","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,77,"Graduate","$25,000 or more","Catholic ","Exciting"
"1924","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,42,"Bachelors","Refused","None","Routine"
"1925","Widowed","No ",NA,27,"Pretyy Happy",NA,NA,89,"Graduate","$25,000 or more","Catholic ","Exciting"
"1926","Divorced",NA,"No ",30,"Not Too Happy",NA,NA,64,"High School","$25,000 or more","Protestant","Routine"
"1927","Married","No ","No ",24,"Pretyy Happy","Pretyy Happy",NA,61,"Associate","Refused","Catholic ","Exciting"
"1928","Widowed","No ",NA,NA,"Pretyy Happy",NA,NA,65,"Graduate","$20,000 to $24,999","Other","Exciting"
"1929","Married","Yes","No ",23,"Not Too Happy","Very Happy",NA,75,"<High School","$25,000 or more","Protestant","Routine"
"1930","Divorced",NA,"No ",NA,"Very Happy",NA,"Very Happy",43,"High School","$8,000 to $9,999","Catholic ","Routine"
"1931","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,39,"High School","$25,000 or more","None","Exciting"
"1932","Married","Yes","No ",23,"Pretyy Happy","Very Happy",NA,71,"High School","$25,000 or more","Other","Exciting"
"1933","Widowed","No ",NA,22,"Pretyy Happy",NA,NA,84,"Bachelors","$25,000 or more","Jewish ","Routine"
"1934","Divorced",NA,"No ",NA,"Not Too Happy",NA,NA,80,"<High School","$25,000 or more","Catholic ","Routine"
"1935","Never Married",NA,NA,40,"Not Too Happy",NA,NA,62,"High School","$25,000 or more","None","Routine"
"1936","Divorced",NA,"Yes",23,"Pretyy Happy",NA,NA,69,"Graduate","$25,000 or more","Protestant","Exciting"
"1937","Married","Yes","No ",18,"Pretyy Happy","Pretyy Happy",NA,63,"High School","$25,000 or more","None","Exciting"
"1938","Married","Yes","No ",20,"Pretyy Happy","Pretyy Happy",NA,68,"Graduate","$25,000 or more","Protestant","Routine"
"1939","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,76,"High School","$25,000 or more","Catholic ","Routine"
"1940","Divorced",NA,"No ",18,"Pretyy Happy",NA,NA,70,"High School","$25,000 or more","Protestant","Dull"
"1941","Divorced",NA,"No ",34,"Pretyy Happy",NA,NA,74,"Graduate","$25,000 or more","Jewish ","Exciting"
"1942","Widowed","No ",NA,NA,"Very Happy",NA,"Very Happy",59,"Graduate","$25,000 or more","Protestant","Exciting"
"1943","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,28,"Bachelors","$25,000 or more","None","Routine"
"1944","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,29,"Bachelors","$25,000 or more","Protestant","Exciting"
"1945","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,61,"Bachelors","$10,000 to $14,999","Other","Exciting"
"1946","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,31,"Graduate","$25,000 or more","Inter-Nondenominational","Exciting"
"1947","Married","Yes","No ",28,"Pretyy Happy","Very Happy",NA,56,"Graduate","$25,000 or more","Catholic ","Exciting"
"1948","Widowed","No ",NA,32,"Pretyy Happy",NA,NA,74,"Bachelors","$20,000 to $24,999","None","Routine"
"1949","Widowed","Yes",NA,24,"Pretyy Happy",NA,NA,63,"High School","$1,000 to $2,999","Protestant","Routine"
"1950","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,64,"High School","$20,000 to $24,999","None","Routine"
"1951","Married","No ","No ",30,"Pretyy Happy","Pretyy Happy",NA,69,"High School","$25,000 or more","None","Routine"
"1952","Married","No ","No ",29,"Pretyy Happy","Very Happy",NA,58,"Bachelors","$25,000 or more","Protestant","Routine"
"1953","Divorced",NA,"No ",23,"Pretyy Happy",NA,NA,62,"High School","$15,000 to $19,999","None","Routine"
"1954","Divorced",NA,"No ",22,"Not Too Happy",NA,NA,37,"Associate","$6,000 to $6,999","None","Routine"
"1955","Divorced",NA,"No ",29,"Not Too Happy",NA,"Pretyy Happy",64,"Bachelors","$10,000 to $14,999","Protestant","Routine"
"1956","Married","No ","No ",29,"Very Happy","Very Happy",NA,39,"Bachelors","$25,000 or more","None","Routine"
"1957","Married","No ","No ",36,"Pretyy Happy","Very Happy",NA,70,"Bachelors","$25,000 or more","Catholic ","Routine"
"1958","Married","Yes","No ",27,"Very Happy","Very Happy",NA,52,"Graduate","Refused","Protestant","Exciting"
"1959","Widowed","No ",NA,23,"Not Too Happy",NA,NA,86,"High School","$8,000 to $9,999","Protestant","Dull"
"1960","Married","No ","No ",18,"Pretyy Happy","Pretyy Happy",NA,70,"High School","$25,000 or more","Protestant","Routine"
"1961","Married","No ","No ",39,"Pretyy Happy","Very Happy",NA,49,"High School","$25,000 or more","None","Routine"
"1962","Married","No ","No ",39,"Pretyy Happy","Pretyy Happy",NA,55,"High School","Refused","Catholic ","Routine"
"1963","Married","Yes","No ",20,"Very Happy","Pretyy Happy",NA,39,"High School","$25,000 or more","Catholic ","Exciting"
"1964","Married","No ","No ",34,"Pretyy Happy","Very Happy",NA,55,"High School","$25,000 or more","Catholic ","Routine"
"1965","Married","No ","No ",34,"Pretyy Happy","Very Happy",NA,36,"Bachelors","Refused","None","Routine"
"1966","Married","Yes","Yes",40,"Pretyy Happy","Very Happy",NA,74,"Bachelors","$25,000 or more","Catholic ","Routine"
"1967","Married","Yes","No ",24,"Very Happy","Very Happy",NA,63,"Graduate","$25,000 or more","Protestant","Exciting"
"1968","Never Married",NA,NA,20,"Not Too Happy",NA,NA,31,"High School","$20,000 to $24,999","None","Routine"
